Time	Quote	Title of book	Author
13:09	At nine minutes past one, a pair of horses approached (not from the city, from which direction Krieger had expected her to come, but from the Desert, which lay, vast and largely uncharted, out to the West and South-West of the city.)	Tortured Souls: The Legend of Primordium	Clive Barker
13:10	Nobody paid the slightest attention to her, as it was an entirely normal thing to see: a well-built woman under a tree. Shortly after ten past one, when Mma Ramotswe had finished her tea and was on the point of dozing off in her comfortable place, a figure emerged from the front of the Ministry and walked over towards the tree.	Morality for Beautiful Girls	Alexander McCall Smith
13:11	I pursued my inquiries at the other stations along the line an' I found there was a gentleman wi' a bicycle tuk the 1.11 train at Girvan.	Five Red Herrings	Dorothy L. Sayers
13:12	'He's with the Heavies—he's been to the Infantry. I told him Colonel B—— had called, and he said he'd go round and see him—their mess is in the village, isn't it?' At twelve minutes past one the adjutant, Wilde, and myself sat down to lunch. 'The colonel said he wouldn't be late—but we needn't wait,' said the adjutant.	Pushed and the Return Push	George Herbert Fosdike Nichols
13:13	'There it is! There it is!' shouted the Professor. 'Now for the centre of the globe!' he added in Danish. I looked at Hans. 'Forüt!' was his tranquil answer. 'Forward!' replied my uncle. It was thirteen minutes past one.	Journey to the Centre of the Earth	Jules Verne
13:14	'All right, shut up,' the cop said. 'This paper says the time was one-fourteen. When was Dougherty shot?'	Bodies Electric	Colin Harrison
13:15	'Monsieur has well slept this morning,' he said, smiling. 'What o'clock is it, Victor?' asked Dorian Gray, sleepily. 'One hour and a quarter, monsieur.'	The Picture of Dorian Gray	Oscar Wilde
13:16	At sixteen past one, they walked into the interview room. Engebretsen looked up and said, 'I want to talk.'	Nothing Gold Can Stay	Dana Stabenow
13:17	One seventeen and four seconds.<br>That shorter guy's really got it made, and gets on a scooter,<br>and that taller one, he goes in.<br>One seventeen and forty seconds.<br>That girl there, she's got a green ribbon in her hair.<br>Too bad that bus just cut her from view.	The Terrorist, He Watches	Wislawa Szymborska
13:18	One eighteen exactly.<br>Was she stupid enough to head inside?<br>Or wasn't she? We'll know before long,<br>When the dead are carried out.	The Terrorist, He Watches	Wislawa Szymborska
13:19	'Just now. There's a bad dehumidifier down there, it's not grounded or something, and the electric shock . . . I was . . . it threw me to the floor. I didn't know electricity could do that. I was almost . . .' She couldn't think of the word. It was nineteen minutes past one.	Saul and Patsy	Charles Baxter
13:20	Today this Vampire is limit to the powers of man, and till sunset he may not change. It will take him time to arrive here, see it is twenty minutes past one, and there are yet some times before he can hither come, be he never so quick.	Dracula	Bram Stoker
13:21	I have been over the ground to make sure, said M. Ulrich: 'I am sure of my calculations. You will reach Russ-Hersbach at twenty-one minutes past one, a trap will take us to Schirmeck in a quarter of an hour. We turn to the right and reach Grande Fontaine half an hour later. There we leave the trap, and, thanks to our good legs, we can reach French ground by two forty-five or fifty. There I leave you and return.'	The Children of Alsace	René Bazin
13:22	No, I mean they recognised juxtaposition: Gavin Stevens's car at the curb before the bank at twenty-two minutes past one in the afternoon with me at the wheel and Gavin and a woman in the back seat.	The Mansion	William Faulkner
13:23	He waggled the ticket higher in the air, closer to my face. Four inches long, it had arrowhead shapes cut out at either end, and purple 1970s techno-writing along the length repeating with great mechanical urgency, top and bottom, that it was 1.23 p.m. in King's Lynn, and that Sheldrake Travel was 'very happy to have you aboard'.	The Genius in my Basement	Alexander Masters
13:24	Littell checked his watch - 1:24 p.m - Littell grabbed the phone by the bed.	The Cold Six Thousand	James Ellroy
13:25	'Why don't you stick around and watch the whole thing?' invited Mrs. Video Shop. I'd really have liked to, I told her, if it weren't for the things I had in the drier. I cast an eye at my watch. One-twenty-five. The drier had already stopped. She made one last pitch. 'Three classic Hitchcock pictures coming in next week.'	Hard Boiled Wonderland and the End of the World	Haruki Murakami
13:26	At twenty-six minutes past one Merilee let herself into the library and leaned back against the door in a pose that belonged in a silent movie.	The Murdstone Trilogy	Mal Peet
13:27	At 13.27 on that self-same Friday, 20 June, seventy-two hours before his disappearance, Adrià Daedalus Sorra, man-about-town, disc jockey and student of philosophy, careened up the stairs with his skateboard.	The Serpent Papers	Jessica Cornwell
13:28	At 13:28 Van walked into the Korvel Mercantile Tower, then took the lift to the third floor. From there, he made his way along the southern corridor to the open door beside the IIS spelled out in silvered letters on the taupe plaster wall. He stepped inside.	The Ethos Effect	L. E. Modesitt, Jr
13:29	It was now twenty-nine minutes past one and Knickers stood beside the artists' entrance of H.P. Hall, ticking off names in a tartan notebook as musicians clambered aboard the two coaches.	Appassionata	Jilly Cooper
13:30	'Jolly good,' Ridcully bellowed, above the buzz. 'Now, if we all step smartly and follow Lor— Com— Sir Samuel we ought to be back here for lunch no later than half past one. Is the choir ready? No one is treading on anyone else's robes? Then orf we go!'	Jingo	Terry Pratchett
13:31	Raymond came back with Masson around one-thirty. His arm was bandaged up and he had an adhesive plaster on the corner of his mouth. The doctor had told him it was nothing, but Raymond looked pretty grim. Masson tried to make him laugh. But he still wouldn't say anything.	The Stranger	Albert Camus
13:32	At the third stroke it will be one ... thirty-two ... and twenty seconds. 'Beep ... beep ... beep.' Ford Prefect suppressed a little giggle of evil satisfaction, realized that he had no reason to suppress it, and laughed out loud, a wicked laugh.	So Long, and Thanks for All the Fish	Douglas Adams
13:33	He waited for the green light to show and then opened the door again on to the now empty cargo hold.'... one ... thirty-three ... and fifty seconds.' Very nice.	So Long, and Thanks for All the Fish	Douglas Adams
13:34	It was 13.34 when Bishop arrived at the address Cassandra had given him. And the BMW's transmission had behaved throughout the whole sixty-mile journey. Just went to show that a good spring-clean was sometimes all that was required.	The Last Quarter	Jason Dean
13:35	An attendant bailiff being sworn in, we read in the journals of the day, which noted the divisions of time with that customary scrupulosity rendered terrible by the reflection how soon all time and seasons may perish for the hero of the scene, that 'it was at twenty-five minutes to two that the jury withdrew.'	Paul Clifford	Baron Edward Bulwer-Lytton
13:36	'And how long was he with her?' asked Calton, who had been listening attentively. 'Bout arf-a-hour,' answered Sal. 'I takes 'im back to Russell Street 'bout twenty-five minutes to two, 'cause I looked at the clock on the Post Office, an'<br>'e gives me a sov., an' then he goes a-tearin' up the street like anything.'	The Mystery of a Hansom Cab	Fergus Hume
13:37	He had not dared to sleep in his rented car—you didn't sleep in your car when you worked for Jesus Castro—and he was beginning to hallucinate. Still, he was on the job, and he scribbled in his notebook:' 1.37pm Subject appears to be getting laid.'	Light House	William Monahan
13:38	According to the digital readout inside my helmet, it was only 13:38 LT. The news that I wouldn't have to devote another three hours to painstaking cleanup should have cheered me considerably; instead, it rendered me about twenty times more suspicious.	Sunday Night Yams At Minnie And Earl's	Adam-Troy Castro
13:39	And it was now 1.39pm which was 23 minutes after the stop, which mean that we would be at the sea if the train didn't go in a big curve. But I didn't know if it went in a big curve.	The Curious Incident of the Dog in the Night-time	Mark Haddon
13:40	'Pig-hoo-o-o-o-ey!' carolled Lord Emsworth. And, as he did so, his eye fell on the clock over the mantelpiece. Its hands pointed to twenty minutes to two.	Blandings Castle and Elsewhere	P. G. Wodehouse
13:41	'I will begin a few minutes before the leak started—at 1:41pm, 13:41 Universal Time—one hour and twenty three minutes ago. At that point the chief flight engineer was attempting to discover why the engines had gone into automatic shutdown.'	Bones Burnt Black	Stephen Euin Cobb
13:42	The last note was recorded at 1.42pm: G.M. on site at H-by; will take over the matter.	The Girl With The Dragon Tattoo	Stieg Larsson
13:43	'There's a train at seventeen minutes to two,' said Didier. He blessed himself and got to his feet. He hesitated. 'What's the matter?'<br>'Shouldn't we say goodbye to Grandpa? He usually has a cheque for me…'	The Public Prosecutor	Jef Geeraerts
13:44	By good luck, the next train was due at forty-four minutes past one, and arrived at Yateland (the next station) ten minutes afterward.	Mr. Policeman and the Cook	Wilkie Collins
13:45	The blow fell at precisely one forty-five (summer-time). Benson, my Aunt Agatha's butler, was offering me the fried potatoes at the moment, and such was my emotion that I lofted six of them on the sideboard with the spoon.	Sir Roderick Comes to Lunch	P. G. Wodehouse
13:46	PAUL: I notified Malatarsiss right after Mama called me. At 1346 hours on Thursday the twenty-fourth. Brett was killed at least fourteen hours later, in the wee hours of the twenty-fifth.<br>ANNE: So the exotic metaconcert theory is remotely plausible. Given a conspiracy in the Magistratum itself.	Jack the Bodiless	Julian May
13:47	Poppy was sprawled on Brianne's bed, applying black mascara to her stubby lashes. Brianne was sitting at her desk, trying to complete an essay before the 2pm deadline. It was 1.47pm.	The Woman Who Went To Bed For A Year	Sue Townsend
13:48	It was twelve minutes to two in the afternoon when Claude Moreau and his most-trusted field officer, Jacques Bergeron, arrived at the Georges Cinq station of the Paris Metro. They walked, separately, to the rear of the platform, each carrying a handheld radio, the frequencies calibrated to each other.	The Apocalypse Watch	Robert Ludlum
13:49	The bookstall clerk had seen the passenger in grey pass the bookstall at 1.49, in the direction of the exit.	Five Red Herrings	Dorothy L. Sayers
13:50	The best train of the day was the one-fifty from Paddington which reached Polgarwith just after seven o'clock.	The Cornish Mystery	Agatha Christie
13:51	Which meant that now, at 1:51 p.m., lower Manhattan was a nightmare. Wall Street had been cordoned off for blocks in each direction. Foot police redirected traffic on Broadway, blowing whistles and gesturing impatiently.	Brilliance	Marcus Sakey
13:52	He passed through the Damascus Gate into the International Zone at eight minutes to two, carefully avoiding the telltale times of the hour, and the half hour and the quarter hour. Then he began to wander aimlessly, trying to mimic an idling, strolling interest in his surroundings that he was very far from feeling.	Spin Control	Chris Moriarty
13:53	'Mr Jackson,' exclaimed Mr Rossiter. 'I really must ask you to be good enough to come in from your lunch at the proper time. It was fully seven minutes to two when you returned, and—'<br>'That little more,' sighed Psmith, 'and how much is it!'<br>'Who are you?' snapped Mr Rossiter, turning on him. 'I shall be delighted, Comrade—'<br>'Rossiter,' said Mike, aside.	Psmith in the City	P. G. Wodehouse
13:54	By good luck, the next train was due at forty-four minutes past one, and arrived at Yateland (the next station) ten minutes afterward.	Mr. Policeman and the Cook	Wilkie Collins
13:55	If I was punctual in quitting Mlle. Reuter's domicile, I was at least equally punctual in arriving there; I came the next day at five minutes before two, and on reaching the schoolroom door, before I opened it, I heard a rapid, gabbling sound, which warned me that the 'priere du midi' was not yet concluded.	The Professor	Charlotte Brontë
13:56	Christopher Cassidy's secretary had warned me to be prompt, as he was squeezing time for me into a very full day and was leaving this evening for meetings in Europe. It was four minutes to two when I arrived breathlessly at his office for the two o'clock appointment.	Daddy's Little Girl	Mary Higgins Clark
13:57	I looked for a clock. It was three minutes to two. 'I hope you can catch him, then.'<br>'Thank you. I really appreciate it.'	Urban Shaman	C.E. Murphy
13:58	Promptly at two minutes to two that afternoon, the two majors presented themselves to General Austin's temporary secretary at his away-from-Pentagon office.	Steel Tiger	Mark Berent
13:59	It was one minute to two o'clock; and then something happened. The whole white world became red. The oldest seas in the world went suddenly lashing into storm. An ocean of blood thundered into his head, and the noise of that primitive flood, roaring from what prehistoric gulfs, deafened him at an instant.	Here Are Ladies	James Stephens
14:00	She could have fired the jig, and he could have kept on picking up his packages at the old time, two o'clock. As it was, he had almost been arrested.'	A Confederacy of Dunces	John Kennedy Toole
14:01	Like the traditional English publican pointing out to the tourist that 'we stop serving food at 2 p.m. prompt' at one minute past two, or the old-fashioned shopkeeper informing a potential customer that 'the item you require is out of stock', the groundsman never announced that conditions were unplayable without an ill-concealed note of triumph in his voice.	Slipless in Settle	Harry Pearson
14:02	'I'm not dead. How did that happen?' He was right. It was 14.02 and twenty-six seconds. Destiny had not been fulfilled. We all looked at each other, confused.	The Woman Who Died A Lot	Jasper Fforde
14:03	Steven put me in the library next to a phone, and left me alone. At three minutes past two, it rang. The voice said, 'Mr. Vance.'	Small Vices	Robert B. Parker
14:04	2.04pm. Once again, the Quartermaster-General's office came on the line asking for Colonel Finckh, and once again Finckh heard the quiet, unemotional, unfamiliar voice	The Night of the Generals	Hans Hellmut Kirst
14:05	...and at five past two on 17 September of that same unforgettable year 1916, I was in the Muryovo hospital yard, standing on trampled withered grass, flattened by the September rain.	A Country Doctor's Notebook	Mikhail Bulgakov
14:06	A man driving a tractor saw her, four hundred yards from her house, six minutes past two in the afternoon.	A Change of Climate	Hilary Mantel
14:07	He poked his head into Tony's office at about seven minutes past two and said, 'Sarge, I'm pretty sure something's happening with the Buick.'	From a Buick 8	Stephen King
14:08	At eight minutes past two, the gloomy-faced man, standing near the wide Y of steps that led down from the balcony, craned his neck and discovered Monk Mayfair, Ham Brooks, Daniel W. Lochaber and Elma Champion. The four, loaded with their own luggage-porters were pretty scarce-moved toward the gate of Track Thirty-one. Craning his neck, the gloomy-faced man could discover no sign of Doc Savage.	The Man Who Was Scared	Kenneth Robeson
14:09	'Mr. Tyne,' said Butler, 'left the North Tower lobby at 14:09 by up tube on the elevators and arrived at the chess tournament on the Sixtieth level at 14:10.	Necromancer	Gordon R Dickson
14:10	At ten minutes past two I'm sitting at a long table on a secluded English lawn giving an impromptu lecture on falconry while Mabel tears at a rabbit leg in my hand.	H is for Hawk	Helen Macdonald
14:11	The hall was once again filled with the relentless tick of the grandfather clock and, as she watched it, she saw the minute hand jerk forward to eleven minutes past two.	A Twist of the Knife	Peter James
14:12	However, they should not forget that another man had lost his life, and if Danny Cartwright did not kill Bernie Wilson, they might well ask, who else could possibly have committed the crime? At twelve minutes past two, the jury filed out of the court to begin their deliberations.	A Prisoner of Birth	Jeffrey Archer
14:13	'At the third stroke, it will be two . . . thirteen . . . and fifty seconds.' He giggled and sniggered. He would have laughed out loud but he didn't have room. 'Beep . . . beep . . . beep.'	So Long, and Thanks for All the Fish	Douglas Adams
14:14	... the clock inlaid with mother-of-pearl, which would not run, stopped at some fourteen minutes past two o'clock of a dead and forgotten day and time, which had been his mother's dowry.	Barn Burning	William Faulkner
14:15	I had a date with her next day at 2.15pm in my own rooms, but it was less successful, she seemed to have grown less juvenile, more of a woman overnight. A cold I caught from her led me to cancel a fourth assignment, nor was I sorry to break an emotional series that threatened to burden me with heart-rending fantasies and peter out in dull disappointment. So let her remain, sleek, slender Monique, as she was for a minute or two	Lolita	Vladimir Nabokov
14:16	Oh, good evening. I think you were on the barrier when I came in at 2.16 this afternoon. Now, do you know that you let me get past without giving up my ticket? Yes, yes he-he! I really think you ought to be more careful	Five Red Herrings	Dorothy L. Sayers
14:17	Henry, too, was the name of the child, wasn't it? How about the child? Don't you know where it is? 'I only know that she used to go every Tuesday and Thursday by the seventeen minutes past two train from Baker-St., and be back by six o'clock, so it couldn't have been very far.	The Late Tenant	Louis Tracy
14:18	You must not find a verdict of 'guilty' unless you believe that strychnia was administered to the deceased by the prisoner at the bar; but, if you do believe that, it is your duty towards God and man to find the prisoner guilty. At the conclusion of this address the jury retired from the Court, at eighteen minutes past two o'clock.	They Hanged My Saintly Billy	Robert Graves
14:19	2:19: Duane Hinton walks out. He walks through the backyard. He lugs some clothes. He wore said clothes last night. He walks to the fence. He feeds the incinerator. He lights a match.	The Cold Six Thousand	James Ellroy
14:20	She looked at her watch and it was twenty minutes past two. She had no time to lose but must get ready at once.	A Tale of Two Cities	Charles Dickens
14:21	When he awoke he was in shadow, for the sun had traveled around and past the elbow of a near-by old and knotted oak whose brown-pink leaves still clung to the twisted branches. Ned looked around him in puzzlement, and it was a long moment before he could account for his surroundings. When he had, he sat up very quickly and gave a startled look at his watch. The thing was crazy! It said twenty-one minutes past two!	The Turner Twins	Ralph Henry Barbour
14:22	There's nae need tae beat the eggs: the 14.22 from King's Cross goes by the windae and stirs every fuckin thing, including me.	Kafka's Soup: A Complete History of World Literature in 14 Recipes	Mark Crick
14:23	Garth here. Sunday afternoon. Sorry to miss you, but I'll leave a brief message on your tape. Two-twenty-two or there-aboutish. Great party.	Larry's Party	Carol Shields
14:24	The Fokker lifted off from the Nairobi runway at 14:24 hours, three minutes ahead of their new timeline schedule.	Congo	Michael Crichton
14:25	I sink into the seat, and a wave of nausea washes over me as the gun presses uncomfortably into the small of my back. Not now. I can't be sick now. I take a deep cleansing breath, and the wave passes. Nervously, I check my watch. Twenty-five past two.	Fifty Shades Freed	E. L. James
14:26	It was twenty-six minutes past two, but the place was still crowded with the lunch-hour rush.	Free Fall	Robert Crais
14:27	The hands of all the four thousand electric clocks in all the Bloomsbury Centre's four thousand rooms marked twenty-seven minutes past two. 'This hive of industry,' as the Director was fond of calling it, was in the full buzz of work.	Brave New World	Aldous Huxley
14:28	It happened to be the case that the sixty-based system coincided with our our current method of keeping time... Apparently they wanted us to know that something might happen at 28 minutes and 57 seconds after 2pm on a day yet to be specified.	Ratner's Star	Don DeLillo
14:29	At twenty-nine minutes past two on Monday, Lucy tapped at their sitting-room door and said, 'If you please, sir, there is a man in black downstairs with a young gentleman.	Blue at the Mizzen	Patrick O'Brian
14:30	At 2.30pm on the 13th inst. began to shadow Sir Bobadil the Ostrich, whom I suspect of being the criminal. Shadowing successful. Didn't lose sight of him once.	The Wind on the Moon	Eric Linklater
14:31	Igor checked the time again. He didn't really; I'm just getting back to the story. It was a now thirty-one minutes past two and she (he) was officially late.	The Vampire's Treaty	Matt Shaw
14:32	'Perhaps rain is the trigger.' Jessie knew for a fact it had rained because the Met Office had confirmed that the rain started at 14.32 on the afternoon of February 23rd and had barely let up for three days.	The Unquiet Dead	Gay Longworth
14:33	At thirty-three minutes past two he heard a singular noise outside, then a hasty opening of doors. Passepartout's voice was audible, and immediately after that of Fix. Phileas Fogg's eyes brightened for an instant.	Around the World in Eighty Days	Jules Verne
14:34	The clock on the wall over the grubby looking optics said 14:34 but the bar was packed with men, women and kids all shouting and swearing, drinking and disappearing outside for a cigarette and a quick fumble behind the bins.	Sloth: An Indolent Seduction	Lexie Bay
14:35	He scribbled a line on the table, and said as he rose: 'It is thirty-five minutes past two. You would perhaps find the doctor at home now.'	A Love Episode	Émile Zola
14:36	I look at my watch. Two thirty-six. All I've got left today is take in the laundry and fix dinner.	The Elephant Vanishes	Haruki Murakami
14:37	Christabel's watch read 14:37 as he finished. 'I have to go home,' she said. She turned around and ran across the bare ground toward the first fence.	City of Golden Shadow	Tad Williams
14:38	On 9 June 1865, the 2.38 pm 'tidal' train, carrying ferry passengers from France, thundered through the Kent countryside towards London. Charles Dickens, incognito, was in a private first-class carriage with his mistress Ellen Ternan and her mother (strange, but true).	Love, Sex, Death and Words: Surprising Tales From a Year in Literature	John Sutherland and Stephen Fender
14:39	Noo, there's a report come in fra' the station-master at Pinwherry that there was a gentleman tuk the 2.39 at Pinwherry.	Five Red Herrings	Dorothy L. Sayers
14:40	Members of Big Side marked Michael and Alan as the two most promising three-quarters for Middle Side next year, and when the bell sounded at twenty minutes to three, the members of Big Side would walk with Michael and Alan towards the changing room and encourage them by flattery and genial ragging.	Sinister Street	Sir Compton Mackenzie
14:41	At 2.41, when the afternoon fast train to London was pulling out of Larborough prompt to the minute, Miss Pym sat under the cedar on the lawn wondering whether she was a fool, and not caring much anyhow.	Miss Pym Disposes	Josephine Tey
14:42	At 14:42 precisely I saw a plasm tether descend from the sky and pause outside the apartment as if it contained a sensorium that was doing some surveilling of its own.	City on Fire	Walter Jon Williams
14:43	Jacobson died at 2.43pm the next day after slashing his wrists with a razor blade in the second cubicle from the left in the men's washroom on the third floor.	Now: Zero	J.G. Ballard
14:44	A carriage clock in a window two up from the milliner's was showing sixteen minutes to three when I turned round and saw Bruno no more than fifty yards away from me.	Friends in High Places	Caro Peacock
14:45	'What time is it?'<br>'Look for yourself,' the old woman says to me. I look, and I see the clock has no hands. 'There are no hands,' I say. The old woman looks at the clock face and says to me, 'It's a quarter to three.'	The Old Woman	Daniil Ivanovich Kharms
14:46	The irony had come about unconsciously. Michael had roamed the Palatine that morning, selecting the site for the very advantages that now could be used against him. He looked at his watch: fourteen minutes to three. 	The Parsifal Mosaic	Robert Ludlum
14:47	When the buzzer rings to his apartment at 14.47 that Monday afternoon Peter Warren does not expect to see her.	The Serpent Papers	Jessica Cornwell
14:48	A clock in a window across the street told him that it was twelve minutes to three. Well, this was it; he had to go in. He lifted his left hand and wiped sweat from his forehead in a long slow gesture.	Native Son	Richard Wright
14:49	Endicott stared back at him and thought. Five thousand dollars up front and five thousand after to create a major shunt on Interstate 50 at mile marker 107, shunt to occur at 14:49 hours.	The Homecoming	Carsten Stroud
14:50	Stands the Church clock at ten to three? And is there honey still for tea?	The Old Vicarage, Grantchester	Rupert Brooke
14:51	At nine minutes to three, the storm came back. It rolled in on angry, brooding tiers: swollen blue-black cumulus and ghostly, low-slung nimbostratus, crowding the ceiling of the sky. It made the oxygen in the air itself compress, turn chill and thick, absorbed or displaced by the moisture that blackened and bloated the heavens.	The Bridge	John Skipp & Craig Spector
14:52	For the last time? 'No!'<br>'Mr. Kesselbach, it is eight minutes to three. If you don't answer within eight minutes from now, you are a dead man!'	813	Maurice Leblanc
14:53	I had expected Maria to be early, so when the doorbell rang at seven minutes to three, I wasn't surprised.	Murder in E Minor	Robert Goldsborough
14:54	The waitress with the perfect neck has finished her shift – the clock says six minutes to three – and changed out of her uniform. She is wearing a purple sweater and white jeans. She looks drop-dead cool.	number9dream	David Mitchell
14:55	The superior, the very reverend John Conmee SJ reset his smooth watch in his interior pocket as he came down the presbytery steps. Five to three. Just nice time to walk to Artane.	Ulysses	James Joyce
14:56	There, at four minutes to three, the Zytgloggeturm pays tribute to time. High on the turret of the tower clowns dance, roosters crow, bears play fife and drum, their mechanical movements and sounds synchronized exactly by the turning of gears, which, in turn, are inspired by the perfection of time.	Einstein's Dreams	Alan Lightman
14:57	He left the house at three minutes to three, carrying his cloak over his arm. It was a hot day at the beginning of June, and when he stepped out at the door the air of the street smote his face like a blast from an open furnace. He reeled and almost fell. The sun's heat was like a load on his head, its dazzling rays made his sight dim, and he had a sound in his ears like running water.	The Manxman	Sir Hall Caine
14:58	We betted that it would happen on the morrow; they took us up and gave us the odds of two to one; we betted that it would happen in the afternoon; we got odds of four to one on that; we betted that it would happen at two minutes to three; they willingly granted us the odds of ten to one on that.	The Chronicle of Young Satan	Mark Twain
14:59	He took from his pocket a ball of crumpled tissue paper and dropped it into a litter bin. At one minute to three he lit a cigarette, although he did not smoke. He dropped the lighted match carefully into the bin so that it landed in the nest of tissue paper. Then he walked away.	Winter of the World	Ken Follett
15:00	Three o'clock is always too late or too early for anything you want to do.	Nausea	Jean-Paul Sartre
15:01	'There'll be twenty pallets' worth by three o'clock tomorrow, see,' comes a man's voice from the office down the hall, 'and if your truck isn't here at one minute past three, then the lot'll be going to the Fine Fare depot in Aylesford.' He hangs up and adds, 'Lying twat.'	The Bone Clocks	David Mitchell
15:02	It was only two minutes past three, but I seemed to have lived hours in that two minutes.'<br>'Do you think, Bishop, that God loves a soldier? He may employ them and yet not love them?' Then the Bishop straightened himself and lifted his head, and his face glowed and his eyes shone as he answered, 'I will give you one example, it could be multiplied indefinitely.	An Orkney Maid	Amelia E. Barr
15:03	I check Shingi's mobile phone - it says it's 3.03pm. I get out of bed, open my suitcase to take clean socks out and the smell of Mother hit my nose and make me feel dizzy.	Harare North	Brian Chikwava
15:04	Woken at 1504 by Michelangelo hammering away with his chisel.	101 Reykjavik	Hallgrímur Helgason
15:05	At five past three I screeched to a halt outside the Church of Our Blessed Lady of the Lobsters, much to the surprise of the photographer and the driver of a large Hispano-Suiza that was parked in readiness for the happy couple.	The Eyre Affair	Jasper Fforde
15:06	The clock on the 'Lal Girja's' tower stood at six minutes past three.	Breakfast in the Ruins	Michael Moorcock
15:07	The next day was grey, threatening rain. He was there at seven minutes past three. The clock on the church over the way pointed to it. They had arranged to be there at three fifteen. Therefore, if she had been there when he came, she would have been eight minutes before her time.	Twenty Thousand Streets Under the Sky 	Patrick Hamilton
15:08	A private wireless telegraph which would transmit by dot and dash system the result of a national equine handicap (flat or steeplechase) of 1 or more miles and furlongs won by an outsider at odds of 50 to 1 at 3 hr 8 m p.m.	Ulysses	James Joyce
15:09	On the next day he boarded the London train which reaches Hull at 3.09. At Paragon Station he soon singled out Beamish from Merriman's description.	The Pit Prop Syndicate	Freeman Wills Crofts
15:10	It said ten past three. The future was amazingly like the present. 'Now we've got to find a newspaper,' said Kirsty. 'It won't be a lot of help,' said Johnny.	Johnny and the Bomb	Terry Pratchett
15:11	Heart rate one thirty-two, one thirty-one, one thirty, and dropping. She was walking south on Park Avenue in the rain. The time was now eleven past three p.m.	The Scarpetta Factor	Patricia Cornwell
15:12	A light breeze had sprung up since he had dropped asleep, and it felt very grateful as it caressed his damp hair and flushed face. Perhaps those three miles were nearer four, because when, tired, dusty, and heart-sick, he descried the tower of the Congregational church above the leafless elms and maples of the village, the gilded hands pointed to twelve minutes past three.	The Turner Twins	Ralph Henry Barbour
15:13	Now, at this moment, he had come to the supreme test of his training. There was nothing for him to do. He had to keep calm, for now his mind was endangered. At thirteen minutes past three he began to consider the inevitability of death.	The Immortal	Olaf Ruhen
15:14	If I knew that next Thursday at three fourteen I would be receiving an award for good posture, that would be great. But I'd probably get so nervous I would start slouching and the award would then be given to someone with a straighter back.	Leven Thumps and the Wrath of Ezra	Obert Skye
15:15	Gordon was alone. He wandered back to the door. The strawberry-nosed man glanced over his shoulder, caught Gordon's eye, and moved off, foiled. He had been on the point of slipping Edgar Wallace into his pocket. The clock over the Prince of Wales struck a quarter past three.	Keep the Aspidistra Flying	George Orwell
15:16	The Nimrod rendezvoused with the light aircraft at 1516 GMT.	The Crow Road	Iain Banks
15:17	From the kitchen came the rackety-banging of the alarm-clock, proving that, as the clock was set to ring at six, Peter had found a mother for the fatherless children at just seventeen minutes past three.	The Jack-Knife Man	Ellis Parker Butler
15:18	The graphic film is already wrinkling: the eagle has a broken wing; the hour hand is kinked. It is eighteen minutes past three.	Fairyland	Paul J. McAuley
15:19	At nineteen minutes past three Cecily Thorogood, still self-possessed, but no longer very prettily clad, was submerged in the chilly Atlantic up to her shoulders and clinging to the life-line of an upturned jolly-boat.	The Long Trick	Lewis Anselm da Costa Ritchie
15:20	At twenty minutes past three on Monday, 26 January 1948, in Tokyo, and I am drinking and I am drinking and I am drinking and I am drinking and I am drinking and I am drinking and I am drinking and I am drinking and I am drinking …	Occupied City	David Peace
15:21	The children came out in dribs and drabs, and it was not until shortly after twenty past three that Nandira walked out of the school entrance, carrying her school bag in one hand and a book in the other.	The No. 1 Ladies' Detective Agency	Alexander McCall Smith
15:22	They tried the next block and there was a barber shop near the far corner, but when they arrived there, Della said she didn't like the looks of it. Harbin studied his wristwatch. It was now twenty-two minutes past three.	The Burglar	David Goodis
15:23	Three twenty-three! Is that all? Doesn't time - no, I've already said that, thought that. I sit and watch the seconds change on the watch. I used to have a limited edition Rolex worth the price of a new car but I lost it.	Espedair Street	Iain Banks
15:24	The organist, in his incredulous relief, made a horrible mess of the first bars of the wedding march. It was twenty-four minutes past three before Jimmy mouthed the first sentence of the day that even he was unable to shorten. 'I do,' he said.	The Reginald Perrin Omnibus	David Nobbs
15:25	'Hmm, let's see. It's a three-line rail-fence, a, d, g...d-a-r-l...Got it: 'Darling Hepzibah'—Hepzibah? What kind of name is that?—'Will meet you Reading Sunday 15.25 train Didcot-Reading.' Reading you all right, you idiots.'	C	Tom McCarthy
15:26	She ran to the window, but a wire mosquito screen was nailed across it. As she stared out she saw Korto, the cause of her desperate plight, sitting hunched up on the edge of a fountain in the empty courtyard. By banging on the wire she endeavoured to attract his attention, but he was sunk in torpid gloom. A clock showed above the stables opposite; it was twenty-six minutes past three.	Mediterranean Nights	Dennis Wheatley
15:27	In this state of despondency, with infinite delight and exultation Le clearly observed, on the second day, at twenty-seven minutes past three P.M., though at a considerable distance, a mountain and an island. His joy and his pride were equal, and excessive: he called the first Alligator Mountain, in gratitude to the pears; and christened the second after his mistress, that unlucky mistress!	The Voyage of Captain Popanilla	Benjamin Disraeli
15:28	Poirot's face was very grave. 'So then, it seems possible that his death could have occurred at the time he mentioned to me - that is, at twenty-eight minutes past three.'	Regata Mystery	Agatha Christie
